city_id,city,cloudiness,country,date,humidity,lat,lng,maxtemp,windspeed
4034551,Faanui,17,PF,1579884368,74,-16.48,-151.75,28,6.5
5122534,Jamestown,90,US,1579884368,41,42.1,-79.24,7.22,5.1
4032243,Vaini,40,TO,1579884368,83,-21.2,-175.2,25,3.6
710408,Chopovychi,99,UA,1579884368,73,50.83,28.95,0.41,6.35
5384339,Port Hueneme,1,US,1579884328,66,34.15,-119.2,20.56,1.5
6165406,Thompson,75,CA,1579884237,84,55.74,-97.86,-14,2.6
3450083,Santa Maria,40,BR,1579884368,61,-29.68,-53.81,27,5.1
5106841,Albany,75,US,1579884241,63,42.6,-73.97,7.78,1.45
6201424,Mataura,100,NZ,1579884278,93,-46.19,168.86,16.67,4.47
3372707,Ribeira Grande,20,PT,1579884369,62,38.52,-28.7,15,3.6
2125693,Evensk,100,RU,1579884369,90,61.95,159.23,-23.03,7.79
2288105,Grand-Lahou,1,CI,1579884369,82,5.14,-5.02,28.2,6.09
4030556,Rikitea,0,PF,1579884369,71,-23.12,-134.97,25.6,8.25
3833367,Ushuaia,75,AR,1579884286,54,-54.8,-68.3,12,2.1
3893629,Coquimbo,0,CL,1579884368,57,-29.95,-71.34,24,5.7
2219235,Ubari,84,LY,1579884369,15,26.59,12.78,15.75,4.69
3424607,Tasiilaq,75,GL,1579884278,52,65.61,-37.64,-7,15.9
1487332,Verkhnyaya Inta,100,RU,1579884369,96,65.98,60.31,-16.85,4.51
3369157,Cape Town,0,ZA,1579884328,69,-33.93,18.42,23.33,6.7
3369174,Calvinia,0,ZA,1579884370,39,-31.47,19.78,22.94,6.52
5855927,Hilo,75,US,1579884370,77,19.73,-155.09,20,2.6
3175096,Laas,20,IT,1579884370,59,46.62,10.7,5,0.5
3874787,Punta Arenas,90,CL,1579884278,87,-53.15,-70.92,8,5.7
3924948,Ouro Preto do Oeste,47,BR,1579884370,61,-10.75,-62.22,31.34,2.02
2345096,Daura,28,NG,1579884370,11,11.55,11.41,23.05,5.9
2324433,Abonnema,47,NG,1579884370,47,4.71,6.79,28.02,3.69
1622318,Waingapu,12,ID,1579884370,74,-9.66,120.26,28.64,3.19
4845585,Westport,1,US,1579884370,56,41.14,-73.36,11.11,5.1
3460826,Itamaraju,100,BR,1579884371,93,-17.04,-39.53,23.9,2.23
1106677,Bambous Virieux,75,MU,1579884371,94,-20.34,57.76,27.22,3.6
3440777,Rocha,0,UY,1579884371,20,-34.48,-54.33,33.06,3.26
6089245,Norman Wells,90,CA,1579884286,83,65.28,-126.83,-22,2.1
2427637,Mongo,0,TD,1579884371,11,12.18,18.69,19.9,3.71
1490256,Talnakh,75,RU,1579884371,84,69.49,88.4,-14,6
1698289,Pundaguitan,61,PH,1579884371,80,6.37,126.17,26.66,0.13
5864145,Homer,1,US,1579884371,71,59.64,-151.55,-8,1.5
2087894,Rabaul,0,PG,1579884371,78,-4.2,152.17,28.46,5.65
301010,Seydisehir,0,TR,1579884371,74,37.42,31.85,-9.45,1.74
1213855,Sibolga,23,ID,1579884371,97,1.74,98.78,22.52,1.15
6170031,Tuktoyaktuk,90,CA,1579884372,76,69.45,-133.04,-20,3.1
3652764,Puerto Ayora,75,EC,1579884372,66,-0.74,-90.35,29,5.1
4033557,Tautira,40,PF,1579884329,78,-17.73,-149.15,25.56,2.1
2123814,Leningradskiy,0,RU,1579884372,70,69.38,178.42,-30.79,1.2
5880054,Barrow,1,US,1579884302,75,71.29,-156.79,-29,4.1
2094342,Kavieng,0,PG,1579884372,65,-2.57,150.8,28.49,2.67
2075265,Busselton,80,AU,1579884275,89,-33.65,115.33,16.02,5.14
5720495,Coos Bay,90,US,1579884074,93,43.37,-124.22,11.67,4.1
1856392,Muroto,62,JP,1579884373,81,33.28,134.15,6.41,2.58
2377450,Nouakchott,66,MR,1579884373,8,18.09,-15.98,35,6.2
4036284,Alofi,90,NU,1579884373,100,-19.06,-169.92,25,1.5
1661950,Ban Nahin,100,LA,1579884373,79,18.24,104.21,22.23,2.74
1015776,Bredasdorp,0,ZA,1579884373,73,-34.53,20.04,23.33,1
3945985,Camana,89,PE,1579884373,78,-16.62,-72.71,21.86,4.72
4020109,Atuona,43,PF,1579884373,81,-9.8,-139.03,26.67,6.44
546105,Nikolskoye,67,RU,1579884232,96,59.7,30.79,2.22,3
3831208,Qaanaaq,0,GL,1579884373,50,77.48,-69.36,-23.08,2.95
5847411,Kahului,1,US,1579884303,82,20.89,-156.47,21,2.6
2194098,Ahipara,0,NZ,1579884311,100,-35.17,173.17,16.67,3.37
1701054,Marawi,8,PH,1579884374,89,8,124.29,25.56,1.34
1516589,Zhezkazgan,90,KZ,1579884374,92,47.8,67.71,-4,8
2121025,Srednekolymsk,100,RU,1579884374,94,67.45,153.68,-33.75,2.29
1337612,Dhidhdhoo,43,MV,1579884288,77,6.88,73.1,28.09,3.71
5282297,Bethel,40,US,1579884282,56,41.37,-73.41,10.56,2.13
88319,Benghazi,0,LY,1579884374,68,32.12,20.07,14.88,1.06
2661338,Bulach,0,CH,1579884375,71,47.52,8.54,3.89,2.1
964420,Port Elizabeth,59,ZA,1579884304,78,-33.92,25.57,22,8.2
2521738,Andujar,100,ES,1579884375,78,38.04,-4.05,11.67,1.34
4013679,Coahuayana Viejo,8,MX,1579884306,53,18.73,-103.68,27.08,2.62
3443061,Chui,0,UY,1579884375,44,-33.7,-53.46,27.83,2.95
2063056,Port Augusta,0,AU,1579884375,68,-32.5,137.77,20,3.6
60019,Eyl,98,SO,1579884375,86,7.98,49.82,26.11,10.7
777019,Vardo,75,NO,1579884375,85,70.37,31.11,-5,3.1
3985710,Cabo San Lucas,75,MX,1579884085,82,22.89,-109.91,20.56,1.5
4033356,Tiarei,40,PF,1579884375,78,-17.53,-149.33,25.56,2.1
1489656,Teya,98,RU,1579884276,92,60.38,92.63,-5.97,3.1
5848280,Kapaa,1,US,1579884124,82,22.08,-159.32,18,2.1
1789647,Xichang,100,CN,1579884376,94,27.9,102.26,-4.95,2.95
2171099,Codrington,38,AU,1579884376,90,-38.27,141.97,15.78,8
2090021,Namatanai,11,PG,1579884376,78,-3.67,152.43,28.25,5.46
5983720,Iqaluit,20,CA,1579884376,61,63.75,-68.51,-30.56,4.6
361058,Alexandria,40,EG,1579884365,50,31.22,29.96,13,3.1
2022572,Khatanga,97,RU,1579884293,88,71.97,102.5,-32.71,4.17
787595,Novi Pazar,0,RS,1579884194,73,43.14,20.51,0.65,1.61
2654970,Brae,20,GB,1579884376,70,60.4,-1.35,7,7.2
1633034,Palu,93,ID,1579884376,94,-0.89,119.87,20.08,1.19
2126123,Chokurdakh,0,RU,1579884376,88,70.63,147.92,-37.28,2.09
3466704,Castro,26,BR,1579884377,61,-24.79,-50.01,23.63,3
501847,Rochegda,98,RU,1579884377,95,62.8,43.25,-11.13,2.53
240498,Bangassou,90,CF,1579884377,21,4.74,22.82,23.47,1.08
2155415,New Norfolk,100,AU,1579884377,51,-42.78,147.06,16,4.6
1282256,Hithadhoo,53,MV,1579884291,76,-0.6,73.08,29.14,4.31
2037611,Dongning,1,CN,1579884377,81,44.06,131.12,-18.81,1.47
933995,Souillac,75,MU,1579884281,94,-20.52,57.52,27.22,3.6
1640972,Katobu,6,ID,1579884377,92,-4.94,122.53,24.39,0.6
1651810,Airai,73,TL,1579884302,92,-8.93,125.41,19.62,1.42
2181625,Te Anau,100,NZ,1579884378,100,-45.42,167.72,14.32,0.57
2156643,Mount Gambier,40,AU,1579884378,93,-37.83,140.77,15,3.1
101312,Turaif,75,SA,1579884378,100,31.67,38.66,3,12.3
3652758,Puerto Baquerizo Moreno,20,EC,1579884378,78,-0.9,-89.6,27,5.1
2206939,Bluff,100,NZ,1579884378,93,-46.6,168.33,16.67,4.47
5414069,Black Forest,1,US,1579884315,24,39.01,-104.7,7.78,1.5
4231997,Avera,90,US,1579884378,100,33.19,-82.53,15,4.1
5850554,Makakilo City,1,US,1579884378,88,21.35,-158.09,20,2.1
4031574,Provideniya,91,RU,1579884378,96,64.38,-173.3,-22.11,2.29
2126199,Cherskiy,65,RU,1579884378,97,68.75,161.3,-38.55,1.77
5563839,Fortuna,40,US,1579884305,87,40.6,-124.16,12,1.5
2112309,Katsuura,100,JP,1579884379,80,35.13,140.3,11,9.3
2729907,Longyearbyen,20,SJ,1579884379,60,78.22,15.64,-13,14.9
110690,Faya,40,SA,1579884379,81,18.39,42.45,12,3.6
1513491,Yangi Marg`ilon,75,UZ,1579884314,63,40.43,71.72,2,5.1
1006984,East London,84,ZA,1579884379,83,-33.02,27.91,23,5.1
3448903,Sao Joao da Barra,90,BR,1579884379,94,-21.64,-41.05,25,2.1
2074865,Carnarvon,0,AU,1579884379,61,-24.87,113.63,27,8.7
3392145,Picui,73,BR,1579884379,30,-6.51,-36.35,33.78,6.66
2180815,Tuatapere,100,NZ,1579884294,93,-46.13,167.68,16.67,4.47
3835869,Santiago del Estero,35,AR,1579884380,26,-27.8,-64.26,34.23,2.88
1528998,Yumen,9,CN,1579884380,53,40.28,97.2,-7.19,4.33
964432,Port Alfred,67,ZA,1579884380,89,-33.59,26.89,20,0.45
2019951,Mirny,20,RU,1579884380,73,62.54,113.96,-35,1
1735106,George Town,20,MY,1579884109,69,5.41,100.34,29,1.5
3870243,Taltal,11,CL,1579884381,65,-25.4,-70.48,23.74,3.61
4527624,Warren,90,US,1579884381,100,39.43,-84.17,7.78,1.5
3577154,Oranjestad,75,AW,1579884294,74,12.52,-70.03,27,4.6
5746545,Portland,90,US,1579884269,87,45.52,-122.68,11,5.1
2122090,Pevek,0,RU,1579884282,97,69.7,170.31,-33.27,0.81
113659,Tabas,0,IR,1579884381,65,33.6,56.92,8,2.1
1272237,Dumka,0,IN,1579884116,43,24.27,87.25,12.99,1.41
3141667,Roald,75,NO,1579884381,80,62.58,6.13,4,7.7
3374210,Sao Filipe,2,CV,1579884326,67,14.9,-24.5,23.67,7.45
2208248,Kaitangata,100,NZ,1579884381,71,-46.28,169.85,20,3.24
2374583,Bubaque,24,GW,1579884382,65,11.28,-15.83,26.55,5.85
1489853,Tazovsky,97,RU,1579884330,95,67.47,78.7,-14.41,3.16
1819729,Hong Kong,40,HK,1579884375,83,22.29,114.16,22.78,4.6
1786855,Yatou,86,CN,1579884382,56,37.15,122.38,1.86,6.38
1259395,Porbandar,0,IN,1579884382,68,21.64,69.61,19,2.6
3430863,Mar del Plata,0,AR,1579884274,43,-38,-57.56,32,12.3
2110227,Butaritari,100,KI,1579884382,74,3.07,172.79,29,3.72
5866583,Kodiak,1,US,1579884382,56,57.79,-152.41,-9,6.2
3466165,Cidreira,10,BR,1579884229,74,-30.18,-50.21,23.38,5.6
2246901,Oussouye,62,SN,1579884382,49,12.48,-16.55,37,3.1
1502073,Krasnosel'kup,94,RU,1579884383,93,65.7,82.47,-8.3,6.93
3471451,Arraial do Cabo,90,BR,1579884294,88,-22.97,-42.03,25,3.1
2236967,Soyo,40,AO,1579884383,74,-6.13,12.37,29,2.6
2685750,OEstersund,75,SE,1579884383,92,63.18,14.64,-1,5.1
2381972,Adrar,60,MR,1579884383,19,20.5,-10.07,26.76,2.5
5969025,Haines Junction,100,CA,1579884246,99,60.75,-137.51,-21.55,3.48
2163355,Hobart,99,AU,1579884170,51,-42.88,147.33,16,4.6
3948613,Acari,46,PE,1579884383,65,-15.43,-74.62,23.79,4.75
3421765,Nanortalik,100,GL,1579884383,93,60.14,-45.24,-3.36,9.95
2027042,Batagay-Alyta,0,RU,1579884384,61,67.8,130.41,-36.82,1.48
6078372,Moose Factory,1,CA,1579884303,78,51.26,-80.61,-12,1.5
2126710,Beringovskiy,100,RU,1579884384,98,63.05,179.32,-18.07,4.23
2644037,Llangefni,90,GB,1579884384,93,53.26,-4.31,7.22,3.1
3175709,Guardiagrele,0,IT,1579884384,81,42.2,14.22,9,2.1
4004293,Ixtapa,75,MX,1579884384,73,20.7,-105.2,25.56,2.1
3385899,Tutoia,75,BR,1579884384,66,-2.76,-42.27,33,6.2
1215412,Belawan,40,ID,1579884384,100,3.78,98.68,26,1.5
2158767,Mareeba,90,AU,1579884384,100,-17,145.43,25.56,1.5
298846,Tunceli,0,TR,1579884385,46,39.11,39.55,-1,3.1
2522857,Tricase,75,IT,1579884385,71,39.93,18.36,12,3.1
3703523,Palmas Bellas,20,PA,1579884385,66,9.23,-80.09,30,7.2
1644605,Galesong,20,ID,1579884385,94,-5.32,119.37,26,1
542182,Krasnovka,66,RU,1579884385,63,48.82,40.09,-1.64,6.84
145531,Saurimo,82,AO,1579884385,93,-9.66,20.39,20.65,1.14
2136825,Isangel,72,VU,1579884385,85,-19.55,169.27,24.61,4.94
1280037,Shache,82,CN,1579884386,71,38.42,77.24,-5.51,1.91
1244926,Hambantota,20,LK,1579884386,94,6.12,81.12,26,4.6
3355672,Luderitz,0,NA,1579884386,57,-26.65,15.16,25,5.1
3723593,Jeremie,41,HT,1579884386,68,18.65,-74.12,23.29,2.13
1855540,Naze,98,JP,1579884386,94,28.37,129.48,20,2.1
56399,Jamame,100,SO,1579884386,87,0.07,42.75,27.18,8.19
2513222,Nijar,75,ES,1579884386,82,36.97,-2.21,15,2.1
2017215,Sangar,51,RU,1579884386,98,63.92,127.47,-42.93,1.15
2278158,Buchanan,38,LR,1579884313,75,5.88,-10.05,28.49,3.09
3347019,Mossamedes,0,AO,1579884387,77,-15.2,12.15,24.17,5.11
3366880,Hermanus,0,ZA,1579884279,79,-34.42,19.23,23.89,4.02
2017155,Saskylakh,100,RU,1579884387,87,71.92,114.08,-33.3,9.96
5357155,Hillsborough,1,US,1579884387,93,37.57,-122.38,12.78,1.3
3418910,Upernavik,30,GL,1579884387,89,72.79,-56.15,-25.27,2.03
3139597,Sistranda,40,NO,1579884387,64,63.73,8.83,3,13.4
2450173,Taoudenni,100,ML,1579884387,13,22.68,-3.98,27.69,3.2
2172880,Byron Bay,100,AU,1579884387,83,-28.65,153.62,27,6.7
2264557,Ponta do Sol,40,PT,1579884387,55,32.67,-17.1,18,2.6
566157,Divnomorskoye,88,RU,1579884388,60,44.5,38.14,4.01,5.51
2015306,Tiksi,0,RU,1579884388,88,71.69,128.87,-36.43,2.48
1493224,Salair,100,RU,1579884388,85,54.23,85.8,-4.52,5.11
2070998,Geraldton,0,AU,1579884388,77,-28.77,114.6,21,5.1
3860443,Comodoro Rivadavia,75,AR,1579884388,35,-45.87,-67.5,23,11.8
6078359,Moosomin,21,CA,1579884388,88,50.13,-101.67,-8.76,4.55
935215,Saint-Philippe,75,RE,1579884300,94,-21.36,55.77,26,6.7
3421719,Narsaq,90,GL,1579884388,79,60.92,-46.05,-3,1.95
2339937,Gusau,37,NG,1579884388,11,12.16,6.66,23.77,4.95
